company,website,hr_website,2nd_link,,
Point 72,point72.com,https://careers.point72.com/?experience=early%20career;internships,,,
Walleye Capital,https://walleyecapital.com/,https://job-boards.greenhouse.io/walleyecapital-external-students,,,
HRT,,https://www.hudsonrivertrading.com/careers/,,,
Jane Street,https://www.janestreet.com/,https://www.janestreet.com/join-jane-street/open-roles/?type=internship&location=all-locations,,,
Citadel,,https://www.citadelsecurities.com/careers/open-opportunities/,,,
Jump Trading,,https://www.jumptrading.com/hr/students-new-grads,,,
DRW,,https://www.drw.com/work-at-drw/listings?filterType=campus&value=Campus,https://www.drw.com/work-at-drw/listings?filterType=country&value=United+States,,
IMC Trading,,https://www.imc.com/us/search-careers?jobOffices=Chicago%2CNew+York&jobTypes=Intern&page=1,,,
Optiver,,https://www.optiver.com/join-us/jobs/?level=early-careers?department=&location=&level=early-careers,,,
SIG,,"https://careers.sig.com/intern-co-op/jobs?tags1=Equity%20Research%7CQuantitative%20Trading%20%2B%20Strategy%7CGrowth%20Equity,%20Private%20Equity%20%2B%20Venture%20Capital%7CQuantitative%20Research%7CInstitutional%20Sales%7CTechnology%20-%20Software%20Engineering%7CMachine%20Learning&page=1",website,hr_website,2nd_link
Tower Research Capita,,https://tower-research.com/internships/#internship-opportunities,,,
RBC Capital Markets,,https://jobs.rbc.com/ca/en/featuredopportunities/student-early-talent-jobs,,,
TD Securities,,https://td.wd3.myworkdayjobs.com/en-US/TD_Bank_Careers?locationCountry=a30a87ed25634629aa6c3958aa2b91ea&jobFamily=de769652963501ab29a8b80c0704c3aa&jobFamily=de769652963501e60b293b0d070431ab,,,
BMO,,https://jobs.bmo.com/global/en/interns,,,
Scotiabank,,https://jobs.scotiabank.com/go/Student-&-New-Grad-Jobs/2298417,,,
CPP Investment,,https://cppib.wd10.myworkdayjobs.com/cppinvestments?locationCountry=bc33aa3152ec42d4995f4791a106ed09&locationCountry=29247e57dbaf46fb855b224e03170bc7&locationCountry=a30a87ed25634629aa6c3958aa2b91ea&jobFamily=b0ac3ae20ece1001ecc502d621120000&jobFamily=7dce790885fe1001b3c457c6cffc0000&jobFamily=7dce790885fe1001b538eef37d540000&jobFamily=b0ac3ae20ece1001ed74f81543b80000&jobFamily=b0ac3ae20ece1001f07cd6e1b16f0000&jobFamily=7dce790885fe1001b227df32cf0b0000&jobFamily=b0ac3ae20ece1001b22a66211feb0000&jobFamily=b0ac3ae20ece1001b23944179e8f0000&jobFamily=b0ac3ae20ece1001b52eb540fcb80000,,,
OMERS,,https://careers.omers.com/ca/en,,,
OTPP,,,,,
Google,,,,,
Amazon/AWS,,,,,
Microsoft,,,,,
Meta,,,,,
Apple,,,,,
NVIDIA,,,,,
AMD,,,,,
Intel,,,,,
Qualcomm,,,,,
Uber,,,,,
Stripe,,,,,
Akuna Capital,,,,,
Ansatz Capital,,,,,
Aquatic,,,,,
Arrowstreet Capital,,,,,
Belvedere Trading,,,,,
Blackwedge Capital,,,,,
Bridgewater,,,,,
Campbell and Company,,,,,
Chicago Trading Company,,,,,
Cubist,,,,,
Peak6 **,,,,,
DE Shaw,,,,,
DRW,,,,,
G-Research,,,,,
Geneva Trading,,,,,
GSA Capital,,,,,
HAP Capital,,,,,
Headlands Tech,,,,,
Mako Trading,,,,,
Marshal Wace,,,,,
Maven Securities,,,,,
PDT Partners,,,,,
Old Mission,,,,,
Quantic,,,,,
QuantLab,,,,,
Radix Trading,,,,,
Renaissance,,,,,
Schonfeld,,,,,
Seven Eight,,,,,
Squarepoint,,,,,
TGS,,,,,
TransMarketGroup,,,,,
TrexQuant Investment LP,,,,,
Tudor Investment Group,,,,,
Two Sigma,,,,,
Valkyrie Trading,,,,,
Vatic Labs,,,,,
Virtu Financial,,,,,
Voleon,,,,,
Voloridge,,,,,
Wolverine,,,,,
WorldQuant,,,,,
XTX Markets,,,,,
